GeneName,R_033_C_Pp_yr2,R_036_C_Pp_yr2,R_045_C_Pp_yr2,R_048_C_Pp_yr2,R_049_La_Pp_yr2,R_051_C_Pp_yr2,R_052_La_Pp_yr2,R_054_C_Pp_yr2,R_057_C_Pp_yr2,R_058_La_Pp_yr2
GCKDGN101A73PT_Ppor,0,0,0,0,0,0,1,2,1,0
GCKDGN101A74I7_Ppor,0,0,0,0,0,0,0,0,3,1
GCKDGN101A778K_Ppor,0,0,15,0,1,0,2,0,5,0
GCKDGN101A7EWB_Ppor,0,0,4,6,0,0,1,2,7,2
GCKDGN101A7EZ9_Ppor,0,0,0,4,2,0,0,2,4,2
GCKDGN101A7FPH_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A7H4U_Ppor,0,0,7,5,0,0,0,0,9,2
GCKDGN101A7H5L_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A7IKO_Ppor,0,0,26,11,1,0,1,10,35,2
GCKDGN101A7JFP_Ppor,0,0,4,2,1,0,0,3,7,0
GCKDGN101A7JHH_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A7K45_Ppor,0,1,11,3,0,0,0,2,2,1
GCKDGN101A7KKC_Ppor,72,0,0,0,0,0,0,0,3,1
GCKDGN101A7L4B_Ppor,0,0,2,0,0,0,0,1,2,0
GCKDGN101A7L4Y_Ppor,47,0,3,0,0,0,1,1,1,1
GCKDGN101A7LCW_Ppor,0,0,0,0,0,0,0,0,2,0
GCKDGN101A7NLU_Ppor,4,0,5,4,1,0,1,11,19,11
GCKDGN101A7NRW_Ppor,0,0,3,2,0,0,2,1,4,1
GCKDGN101A7OXO_Ppor,0,0,0,0,0,0,0,0,0,0
GCKDGN101A7QZ5_Ppor,6,0,11,1,0,0,1,3,12,5
GCKDGN101A7R5V_Ppor,0,0,2,1,0,0,0,2,0,1
GCKDGN101A7RRB_Ppor,0,0,0,1,1,0,0,1,0,1
GCKDGN101A7RU8_Ppor,0,0,0,0,1,0,0,0,2,0
GCKDGN101A7SEE_Ppor,0,0,0,1,0,0,0,0,4,0
GCKDGN101A7TPL_Ppor,0,0,0,1,0,0,0,0,0,1
